"Collins_HG1" "Collins_HG2" "Collins_HG3" "Galbraith_Cuckoo" "Riordan_PJ1" "Riordan_PJ2" "Riordan_PJ3" "Riordan_PJ4" "Riordan_PJ5" "Rowling_HP1" "Rowling_HP2" "Rowling_HP3" "Rowling_HP4" "Rowling_HP5" "Rowling_HP6" "Rowling_HP7" "Rowling_Leopard"
"there" 0.360454637946571 0.203912760801466 0.347885924000306 0.366863586091554 0.260786018209269 0.243143907266045 0.311322519440956 0.260130970288519 0.184984240169483 0.389919400047338 0.332095012946077 0.378672858801465 0.303420421557491 0.303554965934387 0.351693819498319 0.38689188657726 0.363258951738454
"ron" 0 0 0 0 0 0 0 0 0 0.534426270352422 0.793650793650794 0.706439224792355 0.527073078379402 0.489810296884252 0.504554205097262 0.578617217917961 0.207576543850545
"them" 0.267434086218424 0.278779281675434 0.267604556923312 0.197593806479458 0.16813835384545 0.220525869380831 0.235162074770851 0.192270717169775 0.203586007337364 0.406114135512563 0.379376336823145 0.360810931499509 0.40489713492364 0.374009698768541 0.29882481395282 0.400656782160695 0.207576543850545
"into" 0.29650300863347 0.321137971117284 0.31061243214313 0.238056702004262 0.311113144530356 0.322307039864292 0.273910371181957 0.306502143252994 0.275926212990234 0.272819005144943 0.343352471012045 0.320621595070108 0.348857755900543 0.258583859870034 0.297675487745309 0.324949856451803 0.518941359626362
"this" 0.363361530188076 0.38910889138444 0.321125468307975 0.258288149766664 0.30539415290296 0.238903025162567 0.296624889767777 0.314419172783515 0.299695137704749 0.312682969367035 0.281436451649218 0.300973475037957 0.265051117001136 0.288564597246269 0.342499209838232 0.253667361466158 0.778412039439543
"so" 0.340106392256039 0.433437752428237 0.366044804648673 0.254916241806264 0.324838724436107 0.26858919988691 0.291280297159349 0.273703020912268 0.303828863742055 0.29648823390181 0.269053247776652 0.241136018576404 0.246876183263915 0.308801594975228 0.315490043961727 0.278739135564557 0.311364815775817
"back" 0.314913326162999 0.276809110073487 0.301055126538726 0.268403873647865 0.276799194765979 0.255866553576477 0.22180059324978 0.272572016693622 0.256291014313026 0.323894709304498 0.315208825847124 0.317049209609717 0.297362110311751 0.29755881845914 0.240209177369767 0.26349942974004 0.259470679813181
"no" 0.356578781624565 0.385168548180547 0.384203685297041 0.289984084594427 0.298531362950085 0.309584393553859 0.316667112049384 0.271441012474977 0.26765876091562 0.245412529742255 0.249915569064505 0.245601500401893 0.229206108797173 0.231601196231421 0.277562279113869 0.265957446808511 0.155682407887909
"like" 0.191854887939304 0.242331107039423 0.228419603945256 0.275822071160746 0.481539095026765 0.489115069267741 0.559846075732877 0.490855830892249 0.501214282023459 0.239183785332553 0.200382753574243 0.216129320353666 0.221128360469519 0.196373829814344 0.202281412521909 0.223679553230818 0.259470679813181
"been" 0.227706558917861 0.218689047816065 0.211216453857329 0.408675244800518 0.234478656723247 0.224766751484309 0.195077630207637 0.263523982944456 0.217020616958611 0.26285301408942 0.311831588427333 0.259891042243458 0.28827464344314 0.290813152549487 0.314340717754217 0.29102922090691 0.207576543850545
"if" 0.395337344844627 0.382213290777627 0.340240079516783 0.178036740309137 0.371734455780757 0.31947978512864 0.309986371288848 0.274834025130914 0.288327391102155 0.305208476075393 0.246538331644715 0.259891042243458 0.204468004543733 0.243218731964713 0.213774674597017 0.245801706847052 0.155682407887909
"about" 0.302316793116479 0.32901865752507 0.256135790198027 0.299425426883548 0.356865077549526 0.342097823013854 0.370113038133668 0.359659341529344 0.32449749392859 0.279047749554645 0.209388720027018 0.225060284004644 0.257983087214439 0.222981734235754 0.214349337700773 0.182384866480513 0
"hermione" 0 0 0 0 0 0 0 0 0 0.337597947005843 0.351232691658224 0.595695275520229 0.430140098447558 0.482689871757396 0.398241530902508 0.600739371534196 0.155682407887909
"one" 0.412778698293654 0.357586145753295 0.368911996329995 0.225243451754741 0.268792606487624 0.274243709358213 0.280591111942492 0.278227037786851 0.203586007337364 0.318911713776737 0.247664077451311 0.263463427703849 0.259497665025874 0.199746662769171 0.232163893917191 0.217780312266488 0.0518941359626362
"could" 0.16375492960476 0.166479500364482 0.174898692560593 0.238731083596342 0.261929816534749 0.309584393553859 0.285935704550921 0.24655891966477 0.268692192424947 0.246658278624195 0.23753236519194 0.20630526033759 0.229710968067651 0.239471139792683 0.276987616010114 0.317575805246392 0.207576543850545
"an" 0.222861738515353 0.248241621845263 0.235109717868339 0.32774945375091 0.235622455048726 0.182357930449533 0.184388444990781 0.20697377201217 0.207719733374671 0.272819005144943 0.216143194866599 0.251853174957578 0.23021582733813 0.260832415173251 0.255150418067408 0.196641365477642 0.363258951738454
"then" 0.313944362082498 0.262032823058888 0.21503937609909 0.231987267675542 0.21389028686462 0.204975968334747 0.265893482269314 0.245427915446125 0.208753164883997 0.205548565520162 0.181245074862096 0.275966776815218 0.25444907232109 0.220733178932536 0.226417262879637 0.26104141267157 0.155682407887909
"just" 0.303285757196981 0.295525740291979 0.244667023472743 0.188826845782418 0.289380976346251 0.342097823013854 0.261885037812993 0.2917990884106 0.281093370536868 0.224234798749268 0.206011482607227 0.171474502098776 0.221128360469519 0.241344935878698 0.218371979427061 0.146006213867149 0.207576543850545
"who" 0.192823852019806 0.213763618811198 0.237021178989219 0.268403873647865 0.171569748821888 0.154085383093017 0.129606370754389 0.144768539986654 0.0971425618767116 0.220497552103447 0.25892153551728 0.254532464052871 0.277167739492616 0.262706211259266 0.310318076027929 0.268415463876981 0.363258951738454
"when" 0.356578781624565 0.315227456311445 0.330682773912379 0.267055110463705 0.218465480166537 0.186598812553011 0.209775259880816 0.200187746700295 0.228388363561205 0.221743300985387 0.193628278734662 0.168795213003483 0.222642938280954 0.228603122493798 0.224693273568371 0.177960435757266 0.41515308770109
"can" 0.574595699737411 0.396989577792226 0.447281902286107 0.161851582099215 0.109804639246008 0.179530675713882 0.160337778252853 0.208104776230815 0.215987185449284 0.184370834527176 0.18349656647529 0.175046887559168 0.150952921873028 0.192626237642315 0.199408097003132 0.183859676721595 0.0518941359626362
"know" 0.263558229896418 0.343794944539669 0.248489945714504 0.232661649267622 0.185295328727639 0.188012439920837 0.229817482162422 0.229593856385084 0.213920322430631 0.234200789804791 0.185748058088484 0.173260694828972 0.181244478101729 0.200496181203577 0.210326695974485 0.231545207849923 0.259470679813181
